Date,Country,Event,Description,Anti or Pro
1/23/2025,United States,Legal recognition of non-binary gender becomes varies by region,"In his first hours in office, Donald Trump signed an executive order directing the federal government to only recognize two sexes: “Male” and “Female”. The order also directed federal agencies to eliminate the use of ""gender"" in federal documents and guidelines, including an instruction to the Secretary of State to discontinue the use and option of X gender markers in passports moving forward, but not retroactively invalidating passports. 

On January 23rd, 2025, the Secretary of State, Marco Rubio, ordered the U.S. state department to freeze all applications for passports that had requested an ‘X’ on their gender marker.

Other IDs are still state dependent, and there are many states in the U.S. that recognize third gender identities.",Anti
1/23/2025,Thailand,Same-sex adoption becomes legal,"On September 24th, 2024, Thailand’s king signed a bill that legalizes adoption for same-sex couples, and the bill was posted in the royal gazette. The bill became law 120 days after receiving royal assent, which was January 23rd, 2025.",Pro
1/22/2025,Thailand,Same-sex marriage becomes legal,"Same-sex marriage has been legal in Thailand since 2025.

On September 24th, 2024, Thailand’s king signed a bill that legalized same-sex marriage, and it was posted in the royal gazette. A bill in Thailand becomes law 120 days after receiving royal assent, which in this case was January 22nd, 2025. The bill also granted same-sex couples the same rights in areas like child adoption, healthcare consent, and inheritance.",Pro
1/21/2025,"Molise, Italy",LGBT housing discrimination becomes sexual orientation and gender identity,"With the new law, every type of discrimination against LGBT people is illegal.",Pro
1/21/2025,"Molise, Italy",LGBT discrimination becomes illegal,The regional assembly approved a new law banning all type of discrimination against LGBT people,Pro
1/20/2025,United States,Right to change legal gender becomes varies by region,"On his first day in office, President Trump issued an executive order to ""defend women"", the order creates only male and female terms. Also stated in the terms, federal funding will not go towards 
(i)   changes to agency documents, including regulations, guidance, forms, and communications, made to comply with this order; and

(ii)  agency-imposed requirements on federally funded entities, including contractors, to achieve the policy of this order.
This order includes any federally funded agencies, such as the Department of Motor Vehicles, which would be under the Department of Transportation.",Anti
1/1/2025,"New Hampshire, United States","Gender-affirming care becomes legal, but restricted for minors","HB619 restricts gender affirming surgeries for minors under 18, parents or doctors may be subjected to fines or jail time, the bill is not clear on either. Surgeries are banned for minors, but HRT (Hormone replacement therapy) is not.",Anti
1/1/2025,Czechia,Same-sex adoption becomes second parent adoption only.,The new law on registered partnerships also allows gay couples to adopt their partner’s child.,Pro
1/1/2025,Czechia,Same-sex marriage becomes civil unions (marriage rights).,A law that changed the name of gay partnerships from 'registered partnership' to just 'partnership' and gave partnerships the same rights as marriage (without adoption) came into effect in January 2025.,Pro
1/1/2025,Liechtenstein,Same-sex marriage becomes legal.,"On March 8th, 2024, the Liechtenstein government unanimously approved the legislation of gay marriage. The bill was passed in May 2024, and went into effect on January 1st, 2025.",Pro
